,tags,coordinates,time,fav_count,review,country_code,lon,lat
0,"['vegan', 'plantbased', 'cake', 'bakery']","[-74.0064, 40.7142]",Fri Nov 16 04:08:46 +0000 2018,0,Winter is coming! And also we will announce our grand opening very soon! #vegan #plantbased #cake #bakery… https://t.co/5UsU3llPbu,US,-74.0064,40.7142
1,"['Legs', 'LegDay', 'abs', 'core', 'fit', 'fitness', 'teamfit', 'weights', 'weightlifting', 'weightloss', 'motivation', 'motivate', 'power']","[-87.88315561, 41.15795282]",Fri Nov 16 04:16:33 +0000 2018,0,#Legs #LegDay #abs #core #fit #fitness #teamfit #weights #weightlifting #weightloss #motivation #motivate #power… https://t.co/Vy0YylB1UW,US,-87.88315561,41.15795282
2,[],"[-122.65679, 45.53529]",Fri Nov 16 04:17:48 +0000 2018,0,"The Chicken Sandwich at Black Water, a vegan punk bar in PDX: fried seasoned tofu, chipotle mayo, lettuce, tomato,… https://t.co/DficijuzVO",US,-122.65679,45.53529
3,[],"[-94.65567, 39.02191]",Fri Nov 16 04:24:38 +0000 2018,0,"If you like matcha, you HAVE to try this ice cream from Foggi. It's 100% vegan and is made with LIQUID NITROGEN 🙏🏻💯… https://t.co/22kltt40p8",US,-94.65567,39.02191
4,"['ifoundmyjawline', 'findingmyclavicle']","[-73.0745, 41.3427]",Fri Nov 16 04:27:44 +0000 2018,0,"Six weeks and almost 15lbs...made a dent so far, but so much more to go! #ifoundmyjawline #findingmyclavicle… https://t.co/Hp1jHmVfyi",US,-73.0745,41.3427
5,"['ifoundmyjawline', 'findingmyclavicle']","[-73.0745, 41.3427]",Fri Nov 16 04:29:32 +0000 2018,0,"Six weeks and almost 15lbs...made a dent so far, but so much more to go! #ifoundmyjawline #findingmyclavicle… https://t.co/22m9G3BH9i",US,-73.0745,41.3427
6,[],"[-121.4947, 38.577]",Fri Nov 16 04:36:43 +0000 2018,0,"Thanks @Bretmanrock for the diet tip! I tried the tea, and it’s working like a charm ✨ Minding my own business work… https://t.co/ZiBE11VVCa",US,-121.4947,38.577
7,['ihop'],"[-80.1749, 26.0215]",Fri Nov 16 04:52:25 +0000 2018,0,"Wo much for the diet...i am having serious trouble resisting ihop #ihop @ Hollywood, Florida https://t.co/66LcIKVN7K",US,-80.1749,26.0215
8,[],"[-122.27908, 37.8704899]",Fri Nov 16 05:08:37 +0000 2018,0,The menu for this Saturday at _veganrepublic with sumaqvegan ! See you noon to 4pm! @ Animal Place's Vegan Republic https://t.co/YqIFU62g1J,US,-122.27908,37.8704899
9,"['myfab5', 'nycfoodandwine', 'crueltyfree']","[-88.02432197, 43.10897706]",Fri Nov 16 05:29:15 +0000 2018,0,Vegan standard carrot special cheesecake https://t.co/QcsyNsfhSi #myfab5 #nycfoodandwine #crueltyfree @ Northgate T… https://t.co/XXKe70Fh8J,US,-88.02432197,43.10897706
