,tags,coordinates,time,fav_count,review,country_code,lon,lat
0,[],"[-81.51002716, 28.26221583]",Wed Nov 21 00:18:34 +0000 2018,0.0,Something yummy is about to roast in the oven.  SPIRALIZED butternut squash! To top my homemade polenta filled port… https://t.co/2xWEVGvh2O,US,-81.51002716,28.26221583
1,[],"[-87.6538099, 41.94046]",Wed Nov 21 00:29:55 +0000 2018,0.0,About to head to Memphis to see my sister’s new place. Are you traveling for the holiday? Fasting for the big day o… https://t.co/byEse62Hkz,US,-87.6538099,41.94046
2,"['backday', 'pr', 'bulk', 'getfit', 'weightlifting', 'getbig', 'selfworth', 'beast', 'follow', 'bodybyjoey']","[-97.175133, 32.83469]",Wed Nov 21 00:31:26 +0000 2018,0.0,150lb each arm 10x #backday #pr #bulk #getfit #weightlifting #getbig #selfworth #beast #follow #bodybyjoey… https://t.co/hDSSVyUk3C,US,-97.175133,32.83469
3,[],"[-122.94164, 46.13699]",Wed Nov 21 00:40:55 +0000 2018,0.0,"The Pick-Me-Ups — Your Action Plan
1. Rev metabolism. After a few dates with some dumbbells, both guys and gals wil… https://t.co/vJaD7WssnN",US,-122.94164,46.13699
4,"['GloryFitness', 'gotthatgodjuice', 'praisefittour', 'love', 'fitness', 'fitnessmodel']","[-95.46878, 29.715]",Wed Nov 21 00:44:57 +0000 2018,0.0,Hip Hop Aerobic Step class live at #GloryFitness #gotthatgodjuice #praisefittour #love #fitness #fitnessmodel radio… https://t.co/YH3YwthC6u,US,-95.46878,29.715
5,"['delicious', 'yummy', 'foodie', 'foodporn', 'curry', 'meatlessmeatballs', 'yum']","[-74.43778, 40.4525]",Wed Nov 21 01:02:27 +0000 2018,0.0,Made some vegan curry and brown jasmine rice... #delicious #yummy #foodie #foodporn #curry #meatlessmeatballs #yum… https://t.co/JEGeKSldMD,US,-74.43778,40.4525
6,"['crossfit', 'fitness', 'motivation', 'functionalfitness', 'roundrock', 'atx']","[-97.6726, 30.5149]",Wed Nov 21 01:06:10 +0000 2018,0.0,So many lunges! That’s gonna leave a mark!!  #crossfit #fitness #motivation #functionalfitness #roundrock #atx… https://t.co/wLaPYBftPR,US,-97.6726,30.5149
7,"['crossfit', 'fitness', 'motivation', 'functionalfitness', 'roundrock', 'atx', 'HWPO', 'happy']","[-97.6726, 30.5149]",Wed Nov 21 01:06:47 +0000 2018,0.0,An absolute bruiser of a workout!  #crossfit #fitness #motivation #functionalfitness #roundrock #atx #HWPO #happy… https://t.co/Kfe1uzrvaN,US,-97.6726,30.5149
8,"['share', 'guthealth', 'lessgas', 'guthealth', 'feelbetter', 'healthygut']","[-118.243, 34.0522]",Wed Nov 21 01:07:35 +0000 2018,0.0,".
Days are so grey now... missing the sunshine!
.
.
#share #guthealth #lessgas #guthealth #feelbetter #healthygut… https://t.co/F1bEGyyYLu",US,-118.243,34.0522
9,['pic'],"[-80.11471331, 26.36585079]",Wed Nov 21 01:08:35 +0000 2018,0.0,"They’re adorable!
I had to snap #pic and share it!
♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️
I ain’t cooking at all!

Tuesday November 2… https://t.co/0hEtaQ6qsH",US,-80.11471331,26.36585079
10,"['crossfit', 'fitness', 'motivation', 'functionalfitness', 'roundrock', 'atx', 'HWPO', 'happy', 'fitspo', 'workout', 'diet', 'exercise']","[-97.6726, 30.5149]",Wed Nov 21 01:10:29 +0000 2018,0.0,#crossfit #fitness #motivation #functionalfitness #roundrock #atx #HWPO #happy #fitspo #workout #diet #exercise… https://t.co/zvvERsJaYc,US,-97.6726,30.5149
11,"['HCG', 'weightloss', 'spaspecials', 'b12shots', 'agelessglowspa', 'alpharettamedspa']","[-84.30439, 34.0676308]",Wed Nov 21 01:18:04 +0000 2018,0.0,BLACK FRIDAY! #HCG #weightloss #spaspecials #b12shots #agelessglowspa #alpharettamedspa @ Glow Anti-Aging Center an… https://t.co/x2W6YMhgN6,US,-84.30439,34.0676308
12,[],"[-118.2502899, 34.0543137]",Wed Nov 21 01:23:26 +0000 2018,0.0,when they pull out the pumpkin pie and you just started your keto diet 🍰... @ The Broad https://t.co/fCkkWvgrLk,US,-118.2502899,34.0543137
